azimuth,southern_most_pitch,northern_most_pitch,pitch_change,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
-45,15,20,0.5,8,4,11910.757918659023,0.67392707,1113516.9753463687
-45,15,20,1.0,8,4,11906.792655975458,0.67819345,1117111.4790654674
-45,15,20,2.0,8,4,11903.017645794383,0.6832596,1121540.5719462298
-45,15,20,0.5,8,8,8856.153858216121,0.73584974,904518.1836637094
-45,15,20,1.0,8,8,8851.14721341364,0.7388524,905113.8227770963
-45,15,20,2.0,8,8,8846.260728086416,0.7396972,902800.7889002255
-45,15,20,0.5,8,10,7818.9773209337445,0.7310245,793200.3027554819
-45,15,20,1.0,8,10,7817.295088280111,0.7324002,792338.6036494777
-45,15,20,2.0,8,10,7815.052111408597,0.73411655,791378.9139537454
-45,15,20,0.5,8,12,7233.600410627432,0.72928226,732072.8136867904
-45,15,20,1.0,8,12,7231.737938760909,0.7305966,730993.6090720291
-45,15,20,2.0,8,12,7231.35743375592,0.73212326,730341.982407209
-45,15,20,0.5,8,14,6485.767889770153,0.73603374,662334.8689141653
-45,15,20,1.0,8,14,6484.285922908618,0.7371727,661328.1019254125
-45,15,20,2.0,8,14,6483.895404614024,0.7385708,660487.6092446225
-45,15,20,0.5,8,16,6054.855984910047,0.75260156,632565.3847572844
-45,15,20,1.0,8,16,6053.203792125226,0.7596601,636467.9628329633
-45,15,20,2.0,8,16,6050.910748805688,0.76085645,635241.0795186993
-45,15,20,0.5,8,20,5068.266586711957,0.7514391,528747.0089583216
-45,15,20,1.0,8,20,5068.256573422352,0.7517627,527339.2258181749
-45,15,20,2.0,8,20,5067.5256032811885,0.7521517,525688.7854324159
-45,15,20,0.5,12,4,13292.421658221045,0.6515803,1201182.0745833446
-45,15,20,1.0,12,4,13288.366275931035,0.6575224,1208375.0966529136
-45,15,20,2.0,12,4,13284.431053116283,0.6640438,1216087.0281403225
-45,15,20,0.5,12,8,10745.972018650958,0.69687235,1039024.8776808388
-45,15,20,1.0,12,8,10744.069493626013,0.7004813,1041326.6615098894
-45,15,20,2.0,12,8,10743.638922173002,0.7044925,1043863.0615844135
-45,15,20,0.5,12,10,9735.591044351471,0.7122283,962078.8074027897
-45,15,20,1.0,12,10,9734.11909077954,0.71551543,963592.1734811186
-45,15,20,2.0,12,10,9733.69853261613,0.7189833,965137.0295730339
-45,15,20,0.5,12,12,8989.040224563625,0.7206447,899037.7685030183
-45,15,20,1.0,12,12,8987.287898882756,0.73604834,915458.3115908301
-45,15,20,2.0,12,12,8984.974828984008,0.7386654,915451.5744732427
-45,15,20,0.5,12,14,8178.013833009405,0.72918665,827402.9664447648
-45,15,20,1.0,12,14,8176.57191930629,0.73079944,827033.0888262735
-45,15,20,2.0,12,14,8176.211440880512,0.7323155,826255.4933465759
-45,15,20,0.5,12,16,7659.215285286513,0.7338775,780259.4462747428
-45,15,20,1.0,12,16,7659.245325155327,0.74134326,785907.2239916718
-45,15,20,2.0,12,16,7658.534381593375,0.74265355,784571.1900303729
-45,15,20,0.5,12,20,6524.659506595841,0.7458707,675433.3339623191
-45,15,20,1.0,12,20,6521.335094446992,0.7518318,678580.6481248202
-45,15,20,2.0,12,20,6518.691585991281,0.75296116,677238.6784927741
-45,15,20,0.5,18,4,14334.67493333314,0.63151884,1255025.240007438
-45,15,20,1.0,18,4,14364.865001492111,0.63677895,1264681.0433343933
-45,15,20,2.0,18,4,14401.643814211151,0.6425865,1275269.6076354878
-45,15,20,0.5,18,8,12269.40391244009,0.68002474,1157381.330271607
-45,15,20,1.0,18,8,12267.961998736975,0.6846181,1162029.4034697553
-45,15,20,2.0,18,8,12267.601520311197,0.689518,1166669.6396013517
-45,15,20,0.5,18,10,11380.804566316197,0.6841674,1080273.714089174
-45,15,20,1.0,18,10,11380.854632764223,0.688091,1083468.5590867861
-45,15,20,2.0,18,10,11380.16371578148,0.69204354,1086085.1527729419
-45,15,20,0.5,18,12,10514.414696536121,0.6931652,1011287.6849852165
-45,15,20,1.0,18,12,10514.41469653612,0.7009257,1019740.5266876848
-45,15,20,2.0,18,12,10514.344603508885,0.7044014,1021431.938735517
-45,15,20,0.5,18,14,9957.415448970283,0.71501625,987924.277474078
-45,15,20,1.0,18,14,9954.091036821432,0.7180623,989139.0029367332
-45,15,20,2.0,18,14,9951.447528365721,0.72559977,996169.7876531645
-45,15,20,0.5,18,16,9517.952194787533,0.7270112,960208.3038917113
-45,15,20,1.0,18,16,9516.510281084418,0.7296889,961024.0496060376
-45,15,20,2.0,18,16,9516.149802658641,0.73247737,961692.0436473697
-45,15,20,0.5,18,20,8412.605181874549,0.73682797,860012.3874905714
-45,15,20,1.0,18,20,8412.605181874549,0.73849946,859386.5379404273
-45,15,20,2.0,18,20,8412.60518187455,0.7474998,867380.4272813436
0,15,20,0.5,8,4,11736.77701177274,0.71703625,1194483.6047007625
0,15,20,1.0,8,4,11750.935803274162,0.7221539,1200013.4335036164
0,15,20,2.0,8,4,11730.86917090581,0.72898173,1204376.9387064537
0,15,20,0.5,8,8,8871.213845781991,0.7745584,975727.042216612
0,15,20,1.0,8,8,8871.213845781991,0.7773901,975442.0539584727
0,15,20,2.0,8,8,8846.581153353773,0.78175324,974093.9958473507
0,15,20,0.5,8,10,7783.279943492041,0.78478396,867291.4479566957
0,15,20,1.0,8,10,7783.249903623225,0.78638214,865786.3485417004
0,15,20,2.0,8,10,7783.239890333621,0.7890066,865097.4603601409
0,15,20,0.5,8,12,6964.393119597922,0.79254353,783518.2677606961
0,15,20,1.0,8,12,6964.363079729107,0.7937578,781667.1552507736
0,15,20,2.0,8,12,6939.720374011285,0.79636836,778642.3122137778
0,15,20,0.5,8,14,6499.866601533944,0.7983056,736531.2893695056
0,15,20,1.0,8,14,6499.866601533945,0.7991613,734384.4656655964
0,15,20,2.0,8,14,6474.873430679951,0.8014293,730834.7518218051
0,15,20,0.5,8,16,5894.6633778098,0.79233325,663063.9105660504
0,15,20,1.0,8,16,5894.663377809799,0.7925528,660896.4439104269
0,15,20,2.0,8,16,5870.030685381583,0.79420537,657001.9496910349
0,15,20,0.5,8,20,5032.999780723267,0.7757304,554487.4610823621
0,15,20,1.0,8,20,5032.999780723266,0.7752886,551935.0968359287
0,15,20,2.0,8,20,5032.999780723265,0.7760261,550318.4840070185
0,15,20,0.5,12,4,12914.089537076616,0.7080267,1297919.9440923564
0,15,20,1.0,12,4,12962.333566393343,0.71266556,1306389.6430071646
0,15,20,2.0,12,4,12993.52496351281,0.7186408,1314943.8545778955
