roof_type,azimuth,southern_most_pitch,northern_most_pitch,pitch_change,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,-45,15,20,0.5,8,4,15774.936443663424,0.7062385,1545857.8510990941
waffle,-45,15,20,1.0,8,4,15770.560636106053,0.7150345,1560465.054755253
waffle,-45,15,20,2.0,8,4,15767.0259448755,0.7249122,1576595.9241608502
waffle,-45,15,20,0.5,8,8,13237.779136846746,0.7113498,1306703.201981388
waffle,-45,15,20,1.0,8,8,13231.671030187717,0.7194366,1317336.0380241228
waffle,-45,15,20,2.0,8,8,13225.663056424737,0.73068404,1333055.682172512
waffle,-45,15,20,0.5,8,10,12205.699363973295,0.7150378,1211041.2353406588
waffle,-45,15,20,1.0,8,10,12201.503795628816,0.72500765,1224205.83510778
waffle,-45,15,20,2.0,8,10,12199.431044680588,0.73899037,1243598.5718666571
waffle,-45,15,20,0.5,8,12,11563.106516864209,0.7180238,1152142.1753803326
waffle,-45,15,20,1.0,8,12,11558.280111274615,0.7254035,1160263.8494851044
waffle,-45,15,20,2.0,8,12,11551.811526189806,0.734684,1170809.3936703103
waffle,-45,15,20,0.5,8,14,10480.920242807508,0.718644,1045112.0136797475
waffle,-45,15,20,1.0,8,14,10477.335485128931,0.72611916,1052754.794325703
waffle,-45,15,20,2.0,8,14,10474.391577985072,0.73535883,1062504.4612016669
waffle,-45,15,20,0.5,8,16,9786.819033970476,0.7193881,977081.9720343123
waffle,-45,15,20,1.0,8,16,9782.49329286113,0.72664356,983766.6743569508
waffle,-45,15,20,2.0,8,16,9779.158867422679,0.7367828,993996.9133738877
waffle,-45,15,20,0.5,8,20,8849.27472825751,0.73283327,900130.3342806981
waffle,-45,15,20,1.0,8,20,8845.930289529451,0.7398613,905857.4102283104
waffle,-45,15,20,2.0,8,20,8843.036448833616,0.7428662,906229.473053477
waffle,-45,15,20,0.5,12,4,16675.611817050903,0.6968467,1612277.70187734
waffle,-45,15,20,1.0,12,4,16672.667909907046,0.7107633,1639814.7021715073
waffle,-45,15,20,2.0,12,4,16670.25470711225,0.7212462,1658401.0612766228
waffle,-45,15,20,0.5,12,8,15027.434361363108,0.709465,1479365.1634070738
waffle,-45,15,20,1.0,12,8,15024.190055531099,0.71797454,1492748.4065024853
waffle,-45,15,20,2.0,12,8,15020.374992191606,0.7280709,1508476.19729991
waffle,-45,15,20,0.5,12,10,13995.634960598596,0.6937402,1347060.3217376398
waffle,-45,15,20,1.0,12,10,13990.217770922309,0.70202416,1358904.018782452
waffle,-45,15,20,2.0,12,10,13985.171072961408,0.7118349,1373031.0072917275
waffle,-45,15,20,0.5,12,12,13319.087048439069,0.70799625,1308486.915054882
waffle,-45,15,20,1.0,12,12,13315.322051547602,0.7208738,1328274.8912156215
waffle,-45,15,20,2.0,12,12,13310.035034636181,0.73199266,1343863.6395671393
waffle,-45,15,20,0.5,12,14,12297.961814393453,0.6991673,1192901.266909211
waffle,-45,15,20,1.0,12,14,12293.465847360823,0.7071799,1203005.2520381974
waffle,-45,15,20,2.0,12,14,12292.124066553759,0.71643364,1214826.448967223
waffle,-45,15,20,0.5,12,16,11982.07256722559,0.7361113,1224173.256173694
waffle,-45,15,20,1.0,12,16,11978.848287972793,0.74375665,1233124.8472538898
waffle,-45,15,20,2.0,12,16,11975.473809375919,0.7453133,1231304.1364987076
waffle,-45,15,20,0.5,12,20,10634.363892714007,0.7131381,1052333.2226678305
waffle,-45,15,20,1.0,12,20,10628.696370797597,0.72044617,1059642.6414599842
waffle,-45,15,20,2.0,12,20,10626.563540111738,0.729921,1069972.1845851012
waffle,-45,15,20,0.5,18,4,17172.911831991936,0.6811685,1622751.5866774672
waffle,-45,15,20,1.0,18,4,17171.8303967146,0.69053686,1640584.1421474419
waffle,-45,15,20,2.0,18,4,17170.789014595684,0.7014143,1660976.4596484676
waffle,-45,15,20,0.5,18,8,15967.902547640724,0.68627405,1520247.5833990916
waffle,-45,15,20,1.0,18,8,15965.689610638026,0.6953431,1536055.87775666
waffle,-45,15,20,2.0,18,8,15965.369185370668,0.70573866,1554031.1057241608
waffle,-45,15,20,0.5,18,10,15416.430635936827,0.7143585,1528209.1960106285
waffle,-45,15,20,1.0,18,10,15414.758416572799,0.72306657,1542502.9147892655
waffle,-45,15,20,2.0,18,10,15413.38659589692,0.73296285,1558440.7130775189
waffle,-45,15,20,0.5,18,12,14641.44207367088,0.7090771,1440596.7296503026
waffle,-45,15,20,1.0,18,12,14641.412033802064,0.7202389,1459294.8475522946
waffle,-45,15,20,2.0,18,12,14641.331927485226,0.72833484,1470887.0020526412
waffle,-45,15,20,0.5,18,14,14186.358087704382,0.71298003,1403459.2982247532
waffle,-45,15,20,1.0,18,14,14182.72326357778,0.72133934,1415743.3116617408
waffle,-45,15,20,2.0,18,14,14181.3514429019,0.72669876,1421537.6427044629
waffle,-45,15,20,0.5,18,16,14051.529143173517,0.7106229,1385521.9458313258
waffle,-45,15,20,1.0,18,16,14050.6880268467,0.7221389,1404167.3469107614
waffle,-45,15,20,2.0,18,16,14049.806857361462,0.7318746,1418494.5276399602
waffle,-45,15,20,0.5,18,20,12794.741138275025,0.71408665,1267657.0146447618
waffle,-45,15,20,1.0,18,20,12794.741138275027,0.7254056,1284180.4560271786
waffle,-45,15,20,2.0,18,20,12793.77986247295,0.7349152,1296890.1313032424
waffle,0,15,20,0.5,8,4,15686.909614746168,0.70833284,1577109.3423411082
waffle,0,15,20,1.0,8,4,15685.7680997312,0.71462065,1585023.1413624566
waffle,0,15,20,2.0,8,4,15673.882324970107,0.72136027,1592342.4309025346
waffle,0,15,20,0.5,8,8,13498.495158291245,0.7015903,1344263.9526259005
waffle,0,15,20,1.0,8,8,13498.515184870455,0.7070889,1349631.1694427524
waffle,0,15,20,2.0,8,8,13486.499237344497,0.7132884,1354757.2706577322
waffle,0,15,20,0.5,8,10,12137.518875053083,0.7133843,1229099.0020573777
waffle,0,15,20,1.0,8,10,12135.506203842486,0.71865153,1233321.2880040319
waffle,0,15,20,2.0,8,10,12130.339346406321,0.72286904,1235013.9764507592
waffle,0,15,20,0.5,8,12,11491.95208093132,0.7055281,1150768.7582879034
waffle,0,15,20,1.0,8,12,11489.518851557314,0.71056813,1154340.7934610387
waffle,0,15,20,2.0,8,12,11468.841408523058,0.7162491,1156997.9403006763
waffle,0,15,20,0.5,8,14,10663.14208703868,0.69915164,1058062.7666161703
waffle,0,15,20,1.0,8,14,10661.239562013736,0.70511055,1062799.0313768473
waffle,0,15,20,2.0,8,14,10638.369208555994,0.71063954,1064635.279100578
waffle,0,15,20,0.5,8,16,9484.077236053934,0.737351,992738.4842631969
waffle,0,15,20,1.0,8,16,9482.25481734583,0.74256694,995895.7085269116
waffle,0,15,20,2.0,8,16,9458.94387914547,0.74815786,996975.775091427
waffle,0,15,20,0.5,8,20,9003.03880343137,0.7279891,930495.8915065564
waffle,0,15,20,1.0,8,20,9002.978723693739,0.7328895,933144.1392156027
waffle,0,15,20,2.0,8,20,9002.978723693737,0.73838913,936476.2276305666
waffle,0,15,20,0.5,12,4,16663.325510705614,0.68277836,1614578.987949793
