roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
sawtooth,-45,15,8,4,11888.49274196369,0.7002713,1142160.1591663081
sawtooth,-45,15,8,8,8838.920712039122,0.7555665,916539.4329550053
sawtooth,-45,15,8,10,7804.280247524906,0.74927616,802497.6861041927
sawtooth,-45,15,8,12,7238.538216731133,0.74503696,740099.2134501135
sawtooth,-45,15,8,14,6475.574480855328,0.7510408,667442.5390955232
sawtooth,-45,15,8,16,6046.516894193901,0.77296364,641451.6531174133
sawtooth,-45,15,8,20,5068.849141357441,0.7635477,531172.4563636787
sawtooth,-45,30,8,4,11580.309421624559,0.59370184,973260.6539266002
sawtooth,-45,30,8,8,8878.651418530744,0.6528183,821175.2230958585
sawtooth,-45,30,8,10,7831.354801545408,0.6660823,739120.015403981
sawtooth,-45,30,8,12,7263.7804322214015,0.6769595,696807.7997695707
sawtooth,-45,30,8,14,6498.734038344019,0.68859583,634182.8547096819
sawtooth,-45,30,8,16,6066.512413564811,0.6953771,597857.3434249671
sawtooth,-45,30,8,20,5069.730265896571,0.70422435,506002.505304116
sawtooth,-45,45,8,4,10167.89682373775,0.5039309,718785.3567972243
sawtooth,-45,45,8,8,8722.872605124325,0.5290051,647792.1974511837
sawtooth,-45,45,8,10,7830.814111487306,0.55479527,610284.2799605468
sawtooth,-45,45,8,12,7275.345191797466,0.559741,572111.4014356981
sawtooth,-45,45,8,14,6512.151162008025,0.5767999,527885.4876668659
sawtooth,-45,45,8,16,6066.732694699594,0.58617246,499855.54043667705
sawtooth,-45,45,8,20,5074.6765786503165,0.60531867,431907.570386061
sawtooth,-45,15,12,4,13276.343993322283,0.6835229,1244787.148944736
sawtooth,-45,15,12,8,10746.134802540986,0.7201664,1061906.1427867017
sawtooth,-45,15,12,10,9724.961525585046,0.7335583,978946.9048962012
sawtooth,-45,15,12,12,8981.332465675805,0.759405,936049.7915459104
sawtooth,-45,15,12,14,8176.715569768459,0.7449457,835919.7567534451
sawtooth,-45,15,12,16,7658.924736905226,0.75560373,794220.6714921863
sawtooth,-45,15,12,20,6515.3953023566355,0.7789772,696577.6279335052
sawtooth,-45,30,12,4,12422.874749387563,0.58043647,1020490.0862506444
sawtooth,-45,30,12,8,10736.462458168276,0.6058167,920942.6310015114
sawtooth,-45,30,12,10,9748.201185304566,0.62776256,866741.9000771926
sawtooth,-45,30,12,12,9001.55827896035,0.6564148,837159.0937058937
sawtooth,-45,30,12,14,8187.168910891759,0.6534872,758001.8359080376
sawtooth,-45,30,12,16,7659.976078684867,0.6630609,719647.0517748697
