roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,-45,15,8,4,15759.53317460644,0.752811,1628186.9252769975
waffle,-45,15,8,8,13218.60029767279,0.7554637,1370497.2352921553
waffle,-45,15,8,10,12189.446835970422,0.760597,1272403.639798247
waffle,-45,15,8,12,11542.961756500124,0.74725103,1183720.5258798082
waffle,-45,15,8,14,10464.074822231252,0.75619876,1085967.8708564898
waffle,-45,15,8,16,9776.35711944127,0.7611239,1021220.2100934937
waffle,-45,15,8,20,8838.139715288531,0.7668712,930201.5561574611
waffle,-45,30,8,4,15743.502715661609,0.59930134,1335763.932021395
waffle,-45,30,8,8,13240.748564497253,0.6086635,1141141.8662504149
waffle,-45,30,8,10,12214.088284729467,0.6087583,1052825.5598494583
waffle,-45,30,8,12,11566.461748469841,0.6137258,1005214.2291240338
waffle,-45,30,8,14,10479.544565560273,0.6190526,918729.6290428492
waffle,-45,30,8,16,9801.889705518297,0.62783927,871622.888300865
waffle,-45,30,8,20,8862.180397316351,0.63093257,791974.7613249538
waffle,-45,45,8,4,13176.376409246588,0.48994285,905183.76851843
waffle,-45,45,8,8,11430.928773905676,0.48977777,785006.8492149859
waffle,-45,45,8,10,10598.64657002546,0.5063207,752845.5794430831
waffle,-45,45,8,12,10171.611564692486,0.50037026,713885.6548354635
waffle,-45,45,8,14,9257.585034250373,0.50368416,654108.325979731
waffle,-45,45,8,16,8788.68660052993,0.5091492,627822.5672802634
waffle,-45,45,8,20,8007.559683813449,0.5169093,580875.9514660168
waffle,-45,15,12,4,16664.067590695216,0.7493205,1713632.6626496278
waffle,-45,15,12,8,15015.363424639098,0.75152344,1548642.6701498402
waffle,-45,15,12,10,13971.461139685176,0.7400357,1418880.035587006
waffle,-45,15,12,12,13303.53870068903,0.7566161,1381413.0518069107
waffle,-45,15,12,14,12288.162822689403,0.7438034,1254307.3464054274
waffle,-45,15,12,16,11971.658883122818,0.77126026,1267224.0011924643
waffle,-45,15,12,20,10619.212817791033,0.7637715,1113130.3454230488
waffle,-45,30,12,4,16611.49048893425,0.5902774,1387964.5970030895
waffle,-45,30,12,8,14998.932454540118,0.5968553,1267343.0017302304
waffle,-45,30,12,10,13983.937062136933,0.6010679,1190005.86126801
waffle,-45,30,12,12,13315.634137544343,0.61056817,1151221.2121269198
waffle,-45,30,12,14,12286.931250890393,0.6160659,1071937.5952409464
waffle,-45,30,12,16,11982.883208217856,0.63308024,1074532.885203221
waffle,-45,30,12,20,10632.019161944962,0.62384677,939378.6367800855
waffle,-45,45,12,4,13598.995779105064,0.47724047,909579.1849423661
waffle,-45,45,12,8,12839.085940779647,0.48599347,874781.6798037362
waffle,-45,45,12,10,12009.877660007525,0.49935275,841160.7962395806
waffle,-45,45,12,12,11524.237860043639,0.49688983,803100.8068979373
waffle,-45,45,12,14,10807.753443606874,0.49658743,752704.5166781783
waffle,-45,45,12,16,10599.778014035932,0.52338886,778700.7256016056
waffle,-45,45,12,20,9384.0364183942,0.5138717,676665.9986644433
waffle,-45,15,18,4,17168.59149157725,0.7256641,1709569.7485954054
waffle,-45,15,18,8,15965.415933396953,0.7341912,1608523.870148347
waffle,-45,15,18,10,15408.104662398026,0.7601944,1607532.1613027058
waffle,-45,15,18,12,14641.4662366829,0.7550566,1517199.0222715912
waffle,-45,15,18,14,14179.536697044658,0.7508634,1461149.6640655654
waffle,-45,15,18,16,14048.489447406964,0.75323504,1452231.236305853
waffle,-45,15,18,20,12791.445138993573,0.7551345,1325630.6014341307
waffle,-45,30,18,4,17088.16885182404,0.5764064,1393866.1055626208
waffle,-45,30,18,8,15907.071471016236,0.58449054,1315934.007221674
waffle,-45,30,18,10,15380.869903915866,0.60687613,1321656.111921535
waffle,-45,30,18,12,14589.790285018771,0.60652786,1252953.3239466383
waffle,-45,30,18,14,14155.425925564863,0.6036273,1209780.095927022
