roof_type,azimuth,pitch,panel_width,gap,season,viable_pv_area_m2,avg_daylight_hr_per_m2,estimated_daily_yield_kwh
waffle,-45,15,6,8,Spring_Equinox,5823.670000000001,0.6310467,588.0012492150308
waffle,-45,15,6,8,Summer_Solstice,11825.610000000002,0.68900967,1303.6735362533573
waffle,-45,15,6,8,Autumn_Equinox,9162.720000000001,0.7079322,1037.8534865982058
waffle,-45,15,6,8,Winter_Solstice,9294.820000000002,0.66605204,990.5334167020801
waffle,-45,15,6,10,Spring_Equinox,3523.4100000000008,0.6427683,362.35781414823543
waffle,-45,15,6,10,Summer_Solstice,10621.270000000002,0.68923223,1171.283457522011
waffle,-45,15,6,10,Autumn_Equinox,8641.990000000002,0.70781785,978.7127684962276
waffle,-45,15,6,10,Winter_Solstice,8526.210000000001,0.6654244,907.767716669941
waffle,-45,15,6,12,Spring_Equinox,5027.790000000001,0.6313394,507.8786843436243
waffle,-45,15,6,12,Summer_Solstice,9701.810000000001,0.68992513,1070.9636105692866
waffle,-45,15,6,12,Autumn_Equinox,8078.350000000001,0.7083414,915.5567852492334
waffle,-45,15,6,12,Winter_Solstice,7694.720000000001,0.6663132,820.3349257812501
waffle,-45,15,6,14,Spring_Equinox,3121.1600000000008,0.6418475,320.52939453353895
waffle,-45,15,6,14,Summer_Solstice,9179.480000000001,0.69037515,1013.9655800060275
waffle,-45,15,6,14,Autumn_Equinox,7731.8600000000015,0.71011496,878.4815076705935
waffle,-45,15,6,14,Winter_Solstice,7296.950000000002,0.66633075,777.9491521477702
waffle,-45,15,6,16,Spring_Equinox,4327.4800000000005,0.6322729,437.7837320987702
waffle,-45,15,6,16,Summer_Solstice,8220.000000000002,0.69062114,908.3049201965334
waffle,-45,15,6,16,Autumn_Equinox,7024.6500000000015,0.71059537,798.6694017963412
waffle,-45,15,6,16,Winter_Solstice,6480.930000000001,0.6679462,692.6260307172777
waffle,-45,30,6,8,Spring_Equinox,536.8800000000001,0.68922293,59.20480122528078
waffle,-45,30,6,8,Summer_Solstice,5624.040000000001,0.67720836,609.3835084041597
waffle,-45,30,6,8,Autumn_Equinox,2786.1600000000008,0.6958009,310.17802189178474
waffle,-45,30,6,8,Winter_Solstice,5180.240000000001,0.65314263,541.3496932945253
waffle,-45,30,6,10,Spring_Equinox,649.0200000000001,0.678188,70.42521481647493
waffle,-45,30,6,10,Summer_Solstice,5226.050000000001,0.6792654,567.97997418499
waffle,-45,30,6,10,Autumn_Equinox,2712.0100000000007,0.69875956,303.20686447525037
waffle,-45,30,6,10,Winter_Solstice,4784.320000000001,0.6533219,500.1121819244386
waffle,-45,30,6,12,Spring_Equinox,577.9800000000001,0.6782255,62.72012551574709
waffle,-45,30,6,12,Summer_Solstice,4726.710000000001,0.68126,515.2189449754717
waffle,-45,30,6,12,Autumn_Equinox,2603.9900000000007,0.6978387,290.74640928354273
waffle,-45,30,6,12,Winter_Solstice,4582.870000000001,0.6520328,478.10904385232936
waffle,-45,30,6,14,Spring_Equinox,722.9000000000001,0.66116285,76.4727402572632
waffle,-45,30,6,14,Summer_Solstice,4643.800000000001,0.68420017,508.36619816970847
waffle,-45,30,6,14,Autumn_Equinox,2743.5800000000004,0.69507086,305.11720282859807
waffle,-45,30,6,14,Winter_Solstice,4338.300000000001,0.6537993,453.82039733505263
waffle,-45,30,6,16,Spring_Equinox,372.25000000000006,0.68659043,40.89332619667054
waffle,-45,30,6,16,Summer_Solstice,4140.080000000001,0.6858553,454.3193489021303
waffle,-45,30,6,16,Autumn_Equinox,2646.0700000000006,0.694346,293.9661037589074
waffle,-45,30,6,16,Winter_Solstice,3903.4100000000008,0.6553672,409.3066984002114
waffle,-45,45,6,8,Spring_Equinox,415.0100000000001,0.6995959,46.45428898544313
waffle,-45,45,6,8,Summer_Solstice,454.0400000000001,0.70066464,50.900763665008554
